"election_date","election_type","contest_status","assembly","province","constituency_number","constituency_name","voter_reg","votes_cast","turnout","votes_disq","disq_pct","validated_votes","MOV_votes","MOV_pct","win_votes","win_pct","win_party","win_name","second_votes","second_pct","second_party","second_name","third_votes","third_pct","third_party","third_name","remainder_votes","remainder_pct","effective_parties","Cox_SF_ratio","winbuckets","delimit"
2018-07-25,"General Election","Contested","National","Punjab","NA-151","Khanewal-II",404946,237392,0.586231250586498,3638,0.0153248635168835,233754,1678,0.00717848678525285,111198,0.475705228573629,"Pakistan Muslim League (Nawaz)","Muhammad Khan Daha",109520,0.468526741788376,"Pakistan Tehreek-e-Insaf","Ahmad Yar Hiraj",8973,0.0383865088939655,"Tehreek-e-Labbaik Pakistan","Muhammad Amir Sohail",4063,0.0173815207440301,2.23507835094445,0.0819302410518627,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-159","Multan-VI",413257,233413,0.564813179208096,6628,0.0283960190734878,226785,3232,0.0142513834689244,102606,0.452437330511277,"Pakistan Tehreek-e-Insaf","Rana Muhammad Qasim Noon",99374,0.438185947042353,"Pakistan Muslim League (Nawaz)","Muhammad Zulqarnain Bukhari",7610,0.0335560112000353,"Independents","Dewan Syed Muhammad Haider Ali Bukhari",17195,0.0758207112463346,2.5064378528069,0.0765793869623845,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-172","Bahawalpur-III",357821,229275,0.640753337562636,4594,0.0200370733834914,224681,4412,0.019636729407471,106383,0.473484629318901,"Pakistan Muslim League (Qaid-e-Azam)","Chaudhary Tariq Bashir Cheema",101971,0.45384789991143,"Pakistan Muslim League (Nawaz)","Saud Majeed",9180,0.0408579274616011,"Tehreek-e-Labbaik Pakistan","Zulfiqar Ali",7147,0.0318095433080679,2.31205297191315,0.0900255955124496,"Other Parties","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-174","Bahawalpur-V",368433,194025,0.526622208108394,6925,0.035691276897307,187100,5792,0.0309567076429717,63884,0.341443078567611,"Pakistan Tehreek-e-Insaf","Makhdoom Syed Sami ul Hassan Gillani",58092,0.310486370924639,"Independents","PRINCE BAHAWAL ABBAS ABBASI",51359,0.274500267236772,"Pakistan Peoples Party Parliamentarians","Makhdoom Syed Ali Hassan Gillani",13765,0.0735702832709781,3.44496872756684,0.884097638229016,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-182","Muzaffargarh-II",334653,204090,0.609855581751844,6491,0.0318045960115635,197599,2488,0.0125911568378382,53054,0.268493261605575,"Pakistan Peoples Party Parliamentarians","Mahar Irshad Ahmad Khan",50566,0.255902104767737,"Pakistan Awami Raj","Jamshed Ahmed",47642,0.241104459030663,"Pakistan Muslim League (Nawaz)","Hammad Nawaz Khan",46337,0.234500174596025,4.41892838245015,0.942174583712376,"Pakistan Peoples Party Parliamentarians","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-187","Layyah-I",457525,290288,0.634474618873286,9516,0.0327812379430083,280772,5678,0.0202228142407363,93903,0.334445742452951,"Pakistan Tehreek-e-Insaf","Abdul Majeed Khan",88225,0.314222928212215,"Independents","Sardar Bahadur Ahmed Khan",64344,0.229168150670295,"Pakistan Muslim League (Nawaz)","Sahibzada Faiz ul Hassan",34300,0.122163178664539,3.71525757738338,0.729317086993483,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-188","Layyah-II",449098,287493,0.640156491456208,8076,0.0280911187402824,279417,6477,0.0231804077776227,109420,0.391601083684958,"Pakistan Tehreek-e-Insaf","Niaz Ahmed",102943,0.368420675907336,"Pakistan Muslim League (Nawaz)","Syed Muhammad Saqlain Bukhari",37491,0.134175801758662,"Pakistan Peoples Party Parliamentarians","Muhammad Ramzan",29563,0.105802438649044,3.22161774132366,0.364191834316078,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-190","Dera Ghazi Khan-II",315269,162845,0.516527156174568,5079,0.0311891676133747,157766,195,0.00123600775832561,72159,0.457379917092403,"Independents","MUHAMMAD AMJAD FAROOQ KHAN KHOSA",71964,0.456143909334077,"Pakistan Tehreek-e-Insaf","SARDAR ZULFIQAR ALI KHAN KHOSA",6343,0.0402051139028688,"Tehreek-e-Labbaik Pakistan","GHULAM MUSTAFA LASHARI",7300,0.0462710596706515,2.37828264543999,0.0881412928686565,"Independents","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-73","Sialkot-II",488393,253925,0.519919409164341,7386,0.0290873289357094,246539,1493,0.00605583700753226,116957,0.474395531741428,"Pakistan Muslim League (Nawaz)","Khawaja Muhammad Asif",115464,0.468339694733896,"Pakistan Tehreek-e-Insaf","Muhammad Usman Dar",9953,0.0403708946657527,"Tehreek-e-Labbaik Pakistan","Rana Muhammad Naeem Javid",4165,0.0168938788589229,2.24167656226097,0.0862000277142659,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-74","Sialkot-III",475866,263606,0.553950061571955,8928,0.0338687283294007,254678,3501,0.0137467704316823,97235,0.381795836310949,"Pakistan Muslim League (Nawaz)","Ali Zahid",93734,0.368049065879267,"Pakistan Tehreek-e-Insaf","GHULAM ABBAS",34295,0.134660237633404,"Tehreek-e-Labbaik Pakistan","SHUJAAT ALI",29414,0.11549486017638,3.27940469956947,0.36587577613246,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
